asset_id,path,category,creator_or_source,creation_method,modifications,license_basis,public_use_status,sha256
moon-cat-approved-master,art/source/moon-cat/approved-master.png,source-image,OpenAI Image 2 via Codex,complete-character generation,chroma-key removal; green despill; transparent edge cleanup; high-quality resize to 2048 px,original generated and modified work created for this project,approved,6f5b3bbe9fc01a816897ee41741b9761710adaf38f9dab617f16d25e0ca15fbe
moon-cat-layered-master,art/source/moon-cat/layered-master.ora,editable-source,Codex,semantic layer package assembled from the approved master,8 named same-canvas layers; merged preview; thumbnail,derived only from the approved original project artwork,approved,22df05ce445810b99732276f5670b1b6315c4cea4deb2b7cce75f0afacbd0d72
moon-cat-rig,art/source/moon-cat/rig.json,rig-data,Codex,hand-authored animation layer manifest,pivots; ordering; parent linkage; blend modes; conservative motion limits,original project-authored data for approved original artwork,approved,62e9893db5c772e95d51c25edca8bb4607c0385fd51042c7adbf820793107b4d
moon-cat-layer-body,art/source/moon-cat/layers/body.png,source-layer,Codex,semantic extraction from approved master,neck; back; limb; and tail-root overlap preservation,derived only from the approved original project artwork,approved,bae7c160e6a90ba95a1fe8aed77deb4d717725cbe39bc5179eb3a52cc1f305d2
moon-cat-layer-ear-left,art/source/moon-cat/layers/ear-left.png,source-layer,Codex,semantic extraction from approved master,ear-root overlap prepared for independent sway,derived only from the approved original project artwork,approved,73ec3929dcc2f058d48323e3d7cef4ee844673cf134c6b1b668b309d237c83e9
moon-cat-layer-ear-right,art/source/moon-cat/layers/ear-right.png,source-layer,Codex,semantic extraction from approved master,ear-root overlap prepared for independent sway,derived only from the approved original project artwork,approved,db9aea95adf0a570a79964b282a24aea314a97d37251c2f989810b8f2dcf057a
moon-cat-layer-eyes-closed,art/source/moon-cat/layers/eyes-closed.png,source-layer,Codex,procedural eyelid drawing matched to approved face,transparent blink overlay,derived only from the approved original project artwork,approved,0fa74f66cde6c6d5a38bd21d899fd2b1cb6b814ccda5e80c9c22268140638b47
moon-cat-layer-eyes-open,art/source/moon-cat/layers/eyes-open.png,source-layer,Codex,semantic extraction from approved master,isolated open-eye overlay,derived only from the approved original project artwork,approved,d561e94434bd04fe940bbc861cc2721bef8685346fee0ad52badd4dcd4016fd3
moon-cat-layer-glow,art/source/moon-cat/layers/glow.png,source-layer,Codex,derived soft aura based on approved silhouette,project-authored pale-blue and violet additive glow,derived only from the approved original project artwork,approved,62e301096bbab5acb0074c897938b67f02a8ffc0e5ca2c483316d6347fc7595e
moon-cat-layer-head,art/source/moon-cat/layers/head.png,source-layer,Codex,semantic extraction from approved master,neck overlap and eye underpaint repaired for head motion and blinking,derived only from the approved original project artwork,approved,7c7503a2daa3defc89098e3842ee8f94b0fc19e9207e05ba962cce4523190872
moon-cat-layer-tail,art/source/moon-cat/layers/tail.png,source-layer,Codex,semantic extraction from approved master,tail-root overlap prepared for independent sway,derived only from the approved original project artwork,approved,d008fed68b3cf2a68b64d278cb89195e56effa49128831f4dbcb988beae3a57a
moon-cat-master-contact-sheet,art/reviews/moon-cat-master-contact-sheet.png,review-image,Codex,master review composite,black white and deep-purple edges; shoulder-scale comparison,derived only from the approved original project artwork,approved,895197eb3fba6d916fd9299cf4cfe106388367f62ad566033cf1c2e5f8fdd9b1
moon-cat-layer-review-1x,art/reviews/moon-cat-layer-extremes-1x.png,review-image,Codex,automated layer extreme board,group float and joint extremes on three edge-check backgrounds,derived only from the approved original project artwork,approved,3a4496eff6e3676c1b79af7269c7db15e34338f732b23e852283775a951295ea
moon-cat-layer-review-2x,art/reviews/moon-cat-layer-extremes-2x.png,review-image,Codex,automated enlarged layer extreme board,group float and joint extremes on three edge-check backgrounds,derived only from the approved original project artwork,approved,1ff5792f61e75255d0c7ce7121c2e5a99e8b9967395e79302c243fcf9918c0bb
audio-direction,art/audio/audio-direction.md,audio-direction,Codex,project-authored sound design specification,trigger timing; mix limits; prohibited sources,original project-authored document,approved,12f4a60bed5a4f8375795d9e61c78d82fcda05b58ea28507c0b83d9fb178c015
audio-source-ambient-moon-void,art/audio/source/ambient-moon-void.wav,audio-source,Codex,deterministic additive synthesis,48 kHz stereo PCM16; loudness normalization; seamless periodic phases,original procedural audio created for this project,approved,8a17f5641746ba66979d352f73f92b6f061457ec8edae0b5a09b7689a4f45090
audio-source-cat-form,art/audio/source/cat-form.wav,audio-source,Codex,deterministic additive synthesis,purr-like amplitude modulation; shimmer; 48 kHz stereo PCM16,original procedural audio created for this project,approved,c837abffde2683567446ad6401cfd0b9dd973b4c34da8e7cf44ee5e1f164c21a
audio-source-charge-crystals,art/audio/source/charge-crystals.wav,audio-source,Codex,deterministic additive synthesis,periodic crystal pulses; 48 kHz stereo PCM16; seamless endpoints,original procedural audio created for this project,approved,98136853830c0827007c8609a840cb2b4f5e91745ef4be3d1f6199904d42427f
audio-source-charge-low,art/audio/source/charge-low.wav,audio-source,Codex,deterministic additive synthesis,periodic low resonance; 48 kHz stereo PCM16; seamless endpoints,original procedural audio created for this project,approved,952ad0cf48c7dd939022406d8a3009156497457b846aa0aa879955f92e60792c
audio-source-charge-rise,art/audio/source/charge-rise.wav,audio-source,Codex,deterministic additive synthesis,periodic frequency modulation and stardust harmonics; seamless endpoints,original procedural audio created for this project,approved,9fd84c1d6b21e04a42baf72c75c2462e0e7ad56769a08c882f8c8b32188ed363
audio-source-charged-cue,art/audio/source/charged-cue.wav,audio-source,Codex,deterministic additive synthesis,two-note readiness envelope; 48 kHz stereo PCM16,original procedural audio created for this project,approved,aa35f7491b4763936ad55f804ca22685e5c32dbd0c46cfcc81891181944ae7e8
audio-source-dissolve,art/audio/source/dissolve.wav,audio-source,Codex,deterministic additive synthesis,descending phase curve and soft deterministic air; 48 kHz stereo PCM16,original procedural audio created for this project,approved,dad97775514c08b506201a1cbc6e1be81fc2560e0830965e6d3146e18192b4d4
audio-source-release-chime,art/audio/source/release-chime.wav,audio-source,Codex,deterministic additive synthesis,120 ms silent lead; layered moonlight chime; 48 kHz stereo PCM16,original procedural audio created for this project,approved,bb222edeb7230b1cbaff822d137de444a1b5e2f8c5c8c2836c94981b9d572c18
audio-runtime-ambient-moon-void,public/assets/audio/ambient-moon-void.mp3,runtime-audio,Codex,128 kbps MP3 encoding from approved original WAV,48 kHz stereo; stripped metadata,derived only from original project audio,approved,aec77df8b3ff8afd1df272d79b68ac0ec7c17b1768f7138ca28508e69fb6f528
audio-runtime-cat-form,public/assets/audio/cat-form.mp3,runtime-audio,Codex,160 kbps MP3 encoding from approved original WAV,48 kHz stereo; stripped metadata,derived only from original project audio,approved,dd3a3855dcb1ae68810bacd07b0f47227341536f7195dd35fa7225043ad4d9c6
audio-runtime-charge-crystals,public/assets/audio/charge-crystals.mp3,runtime-audio,Codex,160 kbps MP3 encoding from approved original WAV,48 kHz stereo; stripped metadata,derived only from original project audio,approved,e3b4a7ad86e85867025cabcb0ac32242d025f9ccc87e705de615e96cbc501b36
audio-runtime-charge-low,public/assets/audio/charge-low.mp3,runtime-audio,Codex,160 kbps MP3 encoding from approved original WAV,48 kHz stereo; stripped metadata,derived only from original project audio,approved,2e1ed9f13c00832c5abcef389db41384d1c60577d5eaf81ba32c766a7c8f8ca1
audio-runtime-charge-rise,public/assets/audio/charge-rise.mp3,runtime-audio,Codex,160 kbps MP3 encoding from approved original WAV,48 kHz stereo; stripped metadata,derived only from original project audio,approved,568fd75c7632c3128d46266c08172c3444d632ae293d8c1a6c57aba9a7b71b1c
audio-runtime-charged-cue,public/assets/audio/charged-cue.mp3,runtime-audio,Codex,160 kbps MP3 encoding from approved original WAV,48 kHz stereo; stripped metadata,derived only from original project audio,approved,059e6ca1b8434427befda86b8c3e445721c316ac8eb16bf48aaca5e0d3b9c343
audio-runtime-dissolve,public/assets/audio/dissolve.mp3,runtime-audio,Codex,160 kbps MP3 encoding from approved original WAV,48 kHz stereo; stripped metadata,derived only from original project audio,approved,3cd30cf27cf74ae2a09ea309bb15f7ba357b26b1a6d5378747f84d96006dea22
audio-runtime-release-chime,public/assets/audio/release-chime.mp3,runtime-audio,Codex,160 kbps MP3 encoding from approved original WAV,48 kHz stereo; stripped metadata,derived only from original project audio,approved,4fcda649396379ef21b28989c5155407b5402441696922cdef77ce662442c08f
audio-cue-sheet,art/reviews/audio-cue-sheet.md,review-document,Codex,measured cue schedule review,durations; triggers; fades; loudness; peaks; sizes,original project-authored review,approved,f1c6d4db3e2022d18ea0a7d7618be7b6404e1cfaa549cc22f4399c86cdcbc01b
audio-waveform-sheet,art/reviews/audio-waveform-sheet.png,review-image,Codex,automated source waveform review,loop structure; one-shot tails; 120 ms release marker,derived only from original project audio,approved,d81073163123dfffed2cb3048874cb63353b0eefc5b569bda4337034206e9cd2
runtime-girl-back-hair,public/assets/characters/magical-girl/back-hair.webp,runtime-layer,Codex,lossless WebP export from approved source layer,uniform 1575x3072 canvas; alpha preserved; Lanczos resize,derived only from approved original project artwork,approved,3759951593204af42631b750304615d021987b0a70aa6545bef9876d7df1b69a
runtime-girl-body-legs,public/assets/characters/magical-girl/body-legs.webp,runtime-layer,Codex,lossless WebP export from approved source layer,uniform 1575x3072 canvas; alpha preserved; Lanczos resize,derived only from approved original project artwork,approved,a8c0ccf728d4f644d110a1538aee9d2707a80ef8a22f9f62602966673de8d076
runtime-girl-cape-lining,public/assets/characters/magical-girl/cape-lining.webp,runtime-layer,Codex,lossless WebP export from approved source layer,uniform 1575x3072 canvas; alpha preserved; Lanczos resize,derived only from approved original project artwork,approved,30b2411f0d45ba1e1182b33c1c1067026ed7e24e5f4c9681a61eef2503847ccd
runtime-girl-cape-outer,public/assets/characters/magical-girl/cape-outer.webp,runtime-layer,Codex,lossless WebP export from approved source layer,uniform 1575x3072 canvas; alpha preserved; Lanczos resize,derived only from approved original project artwork,approved,b7e2842801c793baa3b8acfab2dfb710d4add981d718a211dd2cdd9d5988f616
runtime-girl-eyes-closed,public/assets/characters/magical-girl/eyes-closed.webp,runtime-layer,Codex,lossless WebP export from approved source layer,uniform 1575x3072 canvas; alpha preserved; Lanczos resize,derived only from approved original project artwork,approved,df77fb8b7f383d020b3f9f4f25f5f517287d964dc55ccab8c88261f7f192a650
runtime-girl-eyes-open,public/assets/characters/magical-girl/eyes-open.webp,runtime-layer,Codex,lossless WebP export from approved source layer,uniform 1575x3072 canvas; alpha preserved; Lanczos resize,derived only from approved original project artwork,approved,91c04c8e13c8707de37667d307d55313d4064ea97a468342262db958bc274e4f
runtime-girl-face,public/assets/characters/magical-girl/face.webp,runtime-layer,Codex,lossless WebP export from approved source layer,uniform 1575x3072 canvas; alpha preserved; Lanczos resize,derived only from approved original project artwork,approved,11ce53e8ae863975a2dfba592c77e72e71e29e8da06ab50eec086b456771f2ff
runtime-girl-front-hair,public/assets/characters/magical-girl/front-hair.webp,runtime-layer,Codex,lossless WebP export from approved source layer,uniform 1575x3072 canvas; alpha preserved; Lanczos resize,derived only from approved original project artwork,approved,32866313284e09425835a6d80d1ec3032bba228d5774f4f01dc024a77c208962
runtime-girl-hat-body,public/assets/characters/magical-girl/hat-body.webp,runtime-layer,Codex,lossless WebP export from approved source layer,uniform 1575x3072 canvas; alpha preserved; Lanczos resize,derived only from approved original project artwork,approved,524366cf9f5096580f707e956111db0183e765078e235a819c24eda74d1bc00d
runtime-girl-hat-ornament,public/assets/characters/magical-girl/hat-ornament.webp,runtime-layer,Codex,lossless WebP export from approved source layer,uniform 1575x3072 canvas; alpha preserved; Lanczos resize,derived only from approved original project artwork,approved,d74599b59b0a3f2b9d0a3eb508a9c6dcc5d9dc967c7e912260290d7998a44848
runtime-girl-ribbon-left,public/assets/characters/magical-girl/ribbon-left.webp,runtime-layer,Codex,lossless WebP export from approved source layer,uniform 1575x3072 canvas; alpha preserved; Lanczos resize,derived only from approved original project artwork,approved,5fd5bb249291d37d9489537154f6e0ca67dca1d85ce8bcd29296631097f145c4
runtime-girl-ribbon-right,public/assets/characters/magical-girl/ribbon-right.webp,runtime-layer,Codex,lossless WebP export from approved source layer,uniform 1575x3072 canvas; alpha preserved; Lanczos resize,derived only from approved original project artwork,approved,a2c69b765144575aea7a85e324d44c6c3c99be373925f91904d477a4073028c5
runtime-girl-rig,public/assets/characters/magical-girl/rig.json,runtime-rig,Codex,normalized runtime rig export,scaled canvas and WebP layer paths; source provenance retained,derived only from approved original project artwork and rig data,approved,8847f147c507151e5058999c8719b2109b2aba122b8b5caa8dd644045983c617
runtime-girl-skirt,public/assets/characters/magical-girl/skirt.webp,runtime-layer,Codex,lossless WebP export from approved source layer,uniform 1575x3072 canvas; alpha preserved; Lanczos resize,derived only from approved original project artwork,approved,483fdab2588eae8d13656de14c6a86ee7352ce08e9381a1872a79d01d2076888
runtime-girl-staff-glow,public/assets/characters/magical-girl/staff-glow.webp,runtime-layer,Codex,lossless WebP export from approved source layer,uniform 1575x3072 canvas; alpha preserved; Lanczos resize,derived only from approved original project artwork,approved,c13446e8bdede1ddbfcc882676b02e102e4b4a223bd9c0e42c2c5a59b5b1240f
runtime-girl-staff,public/assets/characters/magical-girl/staff.webp,runtime-layer,Codex,lossless WebP export from approved source layer,uniform 1575x3072 canvas; alpha preserved; Lanczos resize,derived only from approved original project artwork,approved,809f19b8767e2750602010669ed4b5c71eed0c4500075fc3a7a9974e1f0f0d58
runtime-cat-body,public/assets/characters/moon-cat/body.webp,runtime-layer,Codex,lossless WebP export from approved source layer,uniform 1536x1536 canvas; alpha preserved; Lanczos resize,derived only from approved original project artwork,approved,857a5a9351e780683993f2885d362b7089c91c66328ccf29a54b5866859d5cfd
runtime-cat-ear-left,public/assets/characters/moon-cat/ear-left.webp,runtime-layer,Codex,lossless WebP export from approved source layer,uniform 1536x1536 canvas; alpha preserved; Lanczos resize,derived only from approved original project artwork,approved,f78cb862f288eb0f0d8aa0c7185bfe7f7ce3717cb315e118e73d8ee4abe7a056
runtime-cat-ear-right,public/assets/characters/moon-cat/ear-right.webp,runtime-layer,Codex,lossless WebP export from approved source layer,uniform 1536x1536 canvas; alpha preserved; Lanczos resize,derived only from approved original project artwork,approved,367afcff4c8587f2d28b8230b05361d0aa2566595c78d97685c0f7efe198f638
runtime-cat-eyes-closed,public/assets/characters/moon-cat/eyes-closed.webp,runtime-layer,Codex,lossless WebP export from approved source layer,uniform 1536x1536 canvas; alpha preserved; Lanczos resize,derived only from approved original project artwork,approved,065e5947408da66027daea70edb4df8bf90732e4b0dd4e92f6dd07f6c8f8fe2d
runtime-cat-eyes-open,public/assets/characters/moon-cat/eyes-open.webp,runtime-layer,Codex,lossless WebP export from approved source layer,uniform 1536x1536 canvas; alpha preserved; Lanczos resize,derived only from approved original project artwork,approved,c152a9064b85a3c76e0089d353a01f640ae6c8f10f5f058cf7342a3fcde34fab
runtime-cat-glow,public/assets/characters/moon-cat/glow.webp,runtime-layer,Codex,lossless WebP export from approved source layer,uniform 1536x1536 canvas; alpha preserved; Lanczos resize,derived only from approved original project artwork,approved,6c6813a13dce24ccfb758adc80ba8844be3500e2b6faf5c7f97ef952f9264282
runtime-cat-head,public/assets/characters/moon-cat/head.webp,runtime-layer,Codex,lossless WebP export from approved source layer,uniform 1536x1536 canvas; alpha preserved; Lanczos resize,derived only from approved original project artwork,approved,91b2aaca7388803bc758fd59e2386a7f56100604e4ad592cf9fb21715063d8b0
runtime-cat-rig,public/assets/characters/moon-cat/rig.json,runtime-rig,Codex,normalized runtime rig export,scaled canvas and WebP layer paths; source provenance retained,derived only from approved original project artwork and rig data,approved,8d619ac36a79c732db4278c7b3c33d8a093d298003b1a5cda0b011328ba1d22d
runtime-cat-tail,public/assets/characters/moon-cat/tail.webp,runtime-layer,Codex,lossless WebP export from approved source layer,uniform 1536x1536 canvas; alpha preserved; Lanczos resize,derived only from approved original project artwork,approved,8aede9454209141ec63755cf349fb60e4dcf2257859ceaac6a2eafe2072a2587
stage-initial-review,art/reviews/stage-initial-1920x1080.png,review-image,Codex,live Chromium screenshot of the procedural stage,1920x1080; moon ring; TSL mist; deterministic stardust,original project-authored real-time rendering,approved,21a255ab150b0d460660e397145197182cc3ba0fbca4c3078ee6f0bd3ecda28a
